****Estoy modificando un archivo de texto, en este caso, a trav√©s de nano desde la consola de ubuntu

dir	descrip	tam dir
 Directorio de D:\Calibraciones TDC 2013\Matrices de Transici¢n\matrices	"75 archivos        349,965 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\SAS\Datos Macro Language	"97 archivos        348,401 bytes"	0.000
 Directorio de D:\RAR3_2012\PD\Resultados_finales	" 8 archivos        348,315 bytes"	0.000
 Directorio de D:\Mis documentos	"17 archivos        347,868 bytes"	0.000
 Directorio de D:\TDC2014\Parametr°aPD	" 1 archivos        347,841 bytes"	0.000
 Directorio de D:\B\fuentebanco	"48 archivos        344,295 bytes"	0.000
 Directorio de D:\RAR2010\Severidad Tarjetas\2009\C¢digos	" 8 archivos        344,059 bytes"	0.000
 Directorio de D:\Respaldo Enrique\Gravity Hipoteca\Documentaci¢n\Presentaci¢n ComitÇ	" 6 archivos        343,373 bytes"	0.000
 Directorio de D:\Respaldo Enrique\Gravity Hipoteca\Selecci¢n de variables	" 2 archivos        340,699 bytes"	0.000
 Directorio de D:\Calibraciones TDC 2013\a§opasado	" 2 archivos        339,351 bytes"	0.000
 Directorio de D:\TDC2014\Poder Discriminante\a§o antepasado luis manuel	" 1 archivos        336,896 bytes"	0.000
 Directorio de D:\Temporal\autocalib2013\ST00090401	"16 archivos        332,656 bytes"	0.000
 Directorio de D:\Negocio2011\Micronegocios	"11 archivos        332,576 bytes"	0.000
 Directorio de D:\ManualidadesTDC	" 3 archivos        332,529 bytes"	0.000
 Directorio de D:\TÇcnicasAc°clicas2014	" 6 archivos        331,893 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\ABRIL_07\neg_abr07\impactos\con garantia	" 1 archivos        331,776 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\SEV_PREFINAL\impactos\con garantia	" 1 archivos        331,776 bytes"	0.000
 Directorio de D:\NvosModelosSP\CasosPracGCR\AMERICA MOVIL	" 3 archivos        327,339 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\contingencia\Nueva carpeta\C‡DIGOS	" 3 archivos        326,540 bytes"	0.000
 Directorio de D:\GDrive\prestamos hipotecarios liquidez	" 1 archivos        324,524 bytes"	0.000
 Directorio de D:\Respaldo Jes£s\Estimacion_Final\Parametr°aFinal	" 6 archivos        324,467 bytes"	0.000
 Directorio de D:\GrupoInnovaci¢n\BaseAcumuladaTDCBanco	" 1 archivos        322,048 bytes"	0.000
 Directorio de D:\PRUEBA\FBANCO	"48 archivos        320,799 bytes"	0.000
 Directorio de D:\Venta de Cartera Hipotecaria\BD	" 2 archivos        319,711 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\CODIGO LILI	" 3 archivos        318,710 bytes"	0.000
 Directorio de D:\Calibraciones Consumo 2013\Codigos de calibracion y consumo\Codigos Finales\PD\3 Calibraciones	"17 archivos        317,440 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\v1\Enrique\Resultados	" 2 archivos        314,880 bytes"	0.000
 Directorio de D:\Quitas	" 4 archivos        314,788 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\REEST_MANUEL\Punto 4	" 1 archivos        314,368 bytes"	0.000
 Directorio de D:\RAR\Bit†cora incidencias	" 2 archivos        311,286 bytes"	0.000
 Directorio de D:\Calibraciones TDC 2013\auditor°a	" 3 archivos        310,580 bytes"	0.000
 Directorio de D:\Plan de Estudios\PlanEstudiosMetodolog°as_20130218	"20 archivos        309,098 bytes"	0.000
 Directorio de D:\Temporal\autocalib2013\ST00090301	"16 archivos        308,685 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\ACUMULADA 2006\REEST	" 1 archivos        306,176 bytes"	0.000
 Directorio de D:\Financiera_Ayudamos\2012\Resultados	" 2 archivos        305,152 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\comparaci¢n	" 3 archivos        302,592 bytes"	0.000
 Directorio de D:\B\Consumo\C2013\Codigos\CODIGOS PD LGD COMSUMO 2012	"24 archivos        301,135 bytes"	0.000
 Directorio de D:\Negocio2010\2009\C¢digos	"16 archivos        298,633 bytes"	0.000
 Directorio de D:\Bancarias2011\2011\Proyecto	" 8 archivos        296,186 bytes"	0.000
 Directorio de D:\GrupoInnovaci¢n\BaseAcumuladaTDCBanco\Extracci¢nVariables	" 2 archivos        294,000 bytes"	0.000
 Directorio de D:\Plan de Estudios\ITAMpropuesta	" 2 archivos        293,567 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\Nueva Segmentaci¢n\S2\Resultados	" 4 archivos        289,781 bytes"	0.000
 Directorio de D:\RAR3_2012	" 3 archivos        288,256 bytes"	0.000
 Directorio de D:\Financiera_Ayudamos\2012\Resultados\LGD	" 1 archivos        287,232 bytes"	0.000
 Directorio de D:\TDC2014\Calibraciones Reactivas TSM	" 2 archivos        284,835 bytes"	0.000
 Directorio de D:\Calibraciones Consumo 2013\Codigos de calibracion y consumo	" 8 archivos        284,647 bytes"	0.000
 Directorio de D:\Muestra DANF\Proyecto	" 1 archivos        282,351 bytes"	0.000
 Directorio de D:\Bancarias2011\2011\C¢digos	"13 archivos        281,876 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\SEVERIDAD\entrega_ago\EJERCICIO EAD 2000 final\COMPARATIVO RAR	" 3 archivos        281,600 bytes"	0.000
 Directorio de D:\Presentaci¢n_Nov2011\hipotecario	" 2 archivos        280,576 bytes"	0.000
 Directorio de D:\Personal hga\Comprobantes\N¢mina2014\xml	"26 archivos        280,483 bytes"	0.000
 Directorio de D:\Temporal\calib2013	" 2 archivos        278,528 bytes"	0.000
 Directorio de D:\TDC2014\PD y Factor Reestructuras\Jennifer	" 6 archivos        277,208 bytes"	0.000
 Directorio de D:\B\Consumo\C2013\SaulPF	"17 archivos        274,893 bytes"	0.000
 Directorio de D:\Financiera\BasesAbr09\gio\Arboles_PD_Financiera09_CASO2\Resultados	"39 archivos        273,068 bytes"	0.000
 Directorio de D:\Calibraciones TDC 2013\An†lisisEjesAC\Env°o	" 4 archivos        272,376 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\Nueva Segmentaci¢n\S1\SubSegm	" 4 archivos        270,492 bytes"	0.000
 Directorio de D:\Pruebas EstrÇs Empresas\Documentaci¢n Regulatoria	" 1 archivos        269,837 bytes"	0.000
 Directorio de D:\RAR2010\Severidad Tarjetas\2010\Entrega Validaci¢n\C¢digos	" 9 archivos        269,160 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\Segmentaci¢n Final	" 2 archivos        268,194 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\Nueva Segmentaci¢n	" 6 archivos        266,909 bytes"	0.000
 Directorio de D:\TDC2014\Entrega\C¢digos\Calificaci¢n Retrospectiva	"12 archivos        266,731 bytes"	0.000
 Directorio de D:\Personal hga\GastosMÇdicosAXA\Multiprotecci¢n	" 4 archivos        266,185 bytes"	0.000
 Directorio de D:\CalibracionesHipotecas2014\Parametr°as\PD Media	" 4 archivos        265,232 bytes"	0.000
 Directorio de D:\BHS Transaccional	" 3 archivos        264,774 bytes"	0.000
 Directorio de D:\Personal hga\notas_curso_regresi¢n	" 4 archivos        264,539 bytes"	0.000
 Directorio de D:\NuevoEjeCalibConsumo2013\parametr°a	" 1 archivos        263,082 bytes"	0.000
 Directorio de D:\Deep Learning	" 1 archivos        262,403 bytes"	0.000
 Directorio de D:\Venta de Cartera Hipotecaria\Entrega Åltimo ejercicio	" 1 archivos        254,757 bytes"	0.000
 Directorio de D:\Respaldo Jes£s\Estimacion_Final\Entregables\Documentacion\Gr†ficas	" 1 archivos        254,529 bytes"	0.000
 Directorio de D:\Temporal\tdc neg\Quitas	" 2 archivos        253,952 bytes"	0.000
 Directorio de D:\Muestra DANF\Info\importa	" 4 archivos        253,100 bytes"	0.000
 Directorio de D:\TDC_RARCIERRE2011\AutoJennifer	" 2 archivos        252,634 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\SEV2\COHOR2	" 2 archivos        250,368 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\severidad\COD GLOBAL	" 7 archivos        250,289 bytes"	0.000
 Directorio de D:\RAR2010\TS	" 8 archivos        249,840 bytes"	0.000
 Directorio de D:\GDrive\TemasSelectosST	" 6 archivos        249,069 bytes"	0.000
 Directorio de D:\RAR2010\Severidad Tarjetas\2010\manualidades_gi	" 2 archivos        246,707 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\Docs	" 2 archivos        245,403 bytes"	0.000
 Directorio de D:\Programas\Foxit Reader\Advertisement	"21 archivos        245,397 bytes"	0.000
 Directorio de D:\Mis documentos\Calibre Library\John Schember\Calibre Quick Start Guide (1)	" 3 archivos        241,159 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\Volumetr°a	" 3 archivos        240,685 bytes"	0.000
 Directorio de D:\GDrive\tl	" 1 archivos        240,302 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\IMPACTOS TODAS LAS CARTERAS\catalogos\FINANZIA Y TODOS	" 7 archivos        240,128 bytes"	0.000
 Directorio de D:\Calibraciones TDC 2013\CalibracionesV01_2014\Oficio CNBV	" 1 archivos        240,045 bytes"	0.000
 Directorio de D:\Finanzia2011\2010	" 2 archivos        238,704 bytes"	0.000
 Directorio de D:\CalibracionesHipotecas2014\Parametr°as	" 3 archivos        236,774 bytes"	0.000
 Directorio de D:\TDC_RARCIERRE2011\Par†metros\CCF	" 1 archivos        236,141 bytes"	0.000
 Directorio de D:\Negocio2010\2010\Proyecto	" 4 archivos        235,120 bytes"	0.000
 Directorio de D:\Calibraciones TDC 2013\CambioHerr	" 3 archivos        235,107 bytes"	0.000
 Directorio de D:\Personal hga\telcel	" 1 archivos        231,983 bytes"	0.000
 Directorio de D:\Personal hga\usb\Personal\telcel	" 1 archivos        231,983 bytes"	0.000
 Directorio de D:\TDC2014\Entrega\C¢digos\Calibraciones Herramientas Reactivas	"12 archivos        231,579 bytes"	0.000
 Directorio de D:\Plan de Estudios\ITESMpropuesta	" 2 archivos        230,182 bytes"	0.000
 Directorio de D:\Personal hga\amex_servicios	" 9 archivos        229,305 bytes"	0.000
 Directorio de D:\Personal hga\comprotemp	" 2 archivos        229,294 bytes"	0.000
 Directorio de D:\CalibracionesHipotecas2014\MJ	" 1 archivos        227,783 bytes"	0.000
 Directorio de D:\CalibracionesHipotecas2014\Nueva carpeta\Nueva carpeta	" 1 archivos        227,783 bytes"	0.000
 Directorio de D:\Presentaci¢n 2012	" 1 archivos        226,816 bytes"	0.000
 Directorio de D:\swp55\temp	" 4 archivos        226,773 bytes"	0.000
 Directorio de D:\Negocio2012\Proyecto	"10 archivos        226,549 bytes"	0.000
 Directorio de D:\TDC2014\LGD\validaciones	" 5 archivos        225,227 bytes"	0.000
 Directorio de D:\Par†metros Estimaci¢n 2012	" 1 archivos        224,719 bytes"	0.000
 Directorio de D:\ArreglaScorecards\Mario	" 1 archivos        224,007 bytes"	0.000
 Directorio de D:\Temporal\TDCNeg_ContratoIndiv	" 6 archivos        221,184 bytes"	0.000
 Directorio de D:\RAR2010\Documentos	" 2 archivos        220,672 bytes"	0.000
 Directorio de D:\Respaldo Enrique\Gravity Hipoteca\SAS\Macros	"26 archivos        219,994 bytes"	0.000
 Directorio de D:\SMSTSLog	" 1 archivos        218,630 bytes"	0.000
 Directorio de D:\RAR3\Bit†coras	" 1 archivos        218,624 bytes"	0.000
 Directorio de D:\Personal hga\DOR	" 3 archivos        218,023 bytes"	0.000
 Directorio de D:\Personal hga\sat\2008	" 1 archivos        215,932 bytes"	0.000
 Directorio de D:\Financiera\Arboles\gio2\Arboles_PD_Financiera09\Resultados	"30 archivos        215,768 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\TDC NEGOCIO\RESULTADOS OK\CCF_BORRAR	" 7 archivos        215,552 bytes"	0.000
 Directorio de D:\Entrega Nayeli\MODELO TOY_GLOBAL\Macros Ram¢n	"24 archivos        214,697 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\PDS\CODIGO	" 1 archivos        214,398 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\2007\CODIGOS ANT	" 1 archivos        214,390 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\SEV2	" 1 archivos        212,992 bytes"	0.000
 Directorio de D:\GDrive\lgd2014	" 1 archivos        212,552 bytes"	0.000
 Directorio de D:\Respaldo Jes£s\TerceraEstimaci¢n\Entregas\2aEntrega	" 1 archivos        212,552 bytes"	0.000
 Directorio de D:\Calibraciones Consumo 2013\AC	" 1 archivos        212,462 bytes"	0.000
 Directorio de D:\TDC2014\LGD\R2\Entrega Espa§a\Retro Espa§a	" 1 archivos        210,928 bytes"	0.000
 Directorio de D:\Hip\Proyecto	" 5 archivos        210,173 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\ABRIL_07\neg_abr07\CODIGO	" 2 archivos        209,136 bytes"	0.000
 Directorio de D:\Personal hga\Comprobantes\SPEIs	" 2 archivos        208,040 bytes"	0.000
 Directorio de D:\Venta de Cartera Hipotecaria\Documento	" 1 archivos        205,125 bytes"	0.000
 Directorio de D:\CalibracionesHipotecas2014\EJ_TDC	"11 archivos        203,950 bytes"	0.000
 Directorio de D:\hipotecas\Calibraciones\Nueva carpeta	"11 archivos        203,950 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\S3 hga\Resultados	" 5 archivos        202,389 bytes"	0.000
 Directorio de D:\Respaldo Enrique\Gravity Hipoteca\Clusters	" 6 archivos        202,060 bytes"	0.000
 Directorio de D:\TDC2014\LGD\Proyecto	" 1 archivos        200,448 bytes"	0.000
 Directorio de D:\Mis documentos\Finanzia	" 3 archivos        200,414 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\TDC NEGOCIO\RESULTADOS_BORRAR	" 2 archivos        200,192 bytes"	0.000
 Directorio de D:\Temporal\Nueva carpeta\BHS TDC Finanzia	" 1 archivos        200,192 bytes"	0.000
 Directorio de D:\NvosModelosSP\Caso Pr†ctico PEMEX\MetEspa§a	" 2 archivos        198,358 bytes"	0.000
 Directorio de D:\Personal hga\Comprobantes\N¢mina2015\XML	"18 archivos        196,413 bytes"	0.000
 Directorio de D:\TDC2014\Entrega\C¢digos	" 3 archivos        193,725 bytes"	0.000
 Directorio de D:\Financiera\BasesAbr09\gio\Arboles_PD_Financiera09\Resultados	"24 archivos        192,776 bytes"	0.000
 Directorio de D:\GDrive\ArreglaScorecards\Info_Joe	" 2 archivos        192,763 bytes"	0.000
 Directorio de D:\ArreglaScorecards\Info_Joe	" 1 archivos        192,598 bytes"	0.000
 Directorio de D:\RAR3\Conteos Test	"12 archivos        189,978 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\ABRIL_07\neg_abr07\impactos\actual	" 1 archivos        189,952 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\2007\TDC NEGOCIOS\SEV_PREFINAL\impactos\actual	" 1 archivos        189,952 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\codigo	" 5 archivos        189,862 bytes"	0.000
 Directorio de D:\Negocio2010\2010\C¢digos	"13 archivos        189,520 bytes"	0.000
 Directorio de D:\Negocio2012\Validaciones	" 2 archivos        185,856 bytes"	0.000
 Directorio de D:\GDrive\ArreglaScorecards\Mario	" 2 archivos        185,549 bytes"	0.000
 Directorio de D:\Temporal\ivan	" 2 archivos        184,832 bytes"	0.000
 Directorio de D:\TDC_RARCIERRE2011\Reactivas\Consolidaci¢n y Calificaci¢n	" 6 archivos        184,692 bytes"	0.000
 Directorio de D:\BHS Transaccional\Planeaci¢n Cahuich	" 1 archivos        184,320 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\catalogos rar mario	" 3 archivos        183,808 bytes"	0.000
 Directorio de D:\Personal hga\sat\declaraci¢n2013	" 1 archivos        183,099 bytes"	0.000
 Directorio de D:\ArreglaScorecards\Ejemplo Bivariados Astrid	" 3 archivos        182,904 bytes"	0.000
 Directorio de D:\GDrive\ArreglaScorecards\Ejemplo Bivariados Astrid	" 3 archivos        182,904 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\RAR\BBVA Bancomer Junio 2007 en 150.100.118.167\Anexos	" 2 archivos        180,736 bytes"	0.000
 Directorio de D:\Plan de Estudios\Modelado y Programaci¢n	" 1 archivos        180,359 bytes"	0.000
 Directorio de D:\Finanzia2012\Proyecto\C¢digos	"16 archivos        179,849 bytes"	0.000
 Directorio de D:\RAR2010\Empresas\Matrices Transici¢n	" 4 archivos        179,549 bytes"	0.000
 Directorio de D:\Calibraciones TDC 2013\Resumen	" 1 archivos        179,122 bytes"	0.000
 Directorio de D:\Plan de Estudios\Estad°stica Aplicada	" 1 archivos        177,830 bytes"	0.000
 Directorio de D:\Presentaci¢n_Nov2011\Modelo CNBV Consumo	" 2 archivos        176,640 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\Variables Prohibidas	" 4 archivos        176,425 bytes"	0.000
 Directorio de D:\TDC2014\Calibraciones Reactivas\Alex\3. Excel Finanzia\textos\fza6	"15 archivos        175,182 bytes"	0.000
 Directorio de D:\Respaldo Enrique\Gravity Hipoteca\Modelos\Modelos Finales	" 4 archivos        174,933 bytes"	0.000
 Directorio de D:\TDC_RARCIERRE2011\BHS\Banco\Exceles BHS Banco	" 1 archivos        172,032 bytes"	0.000
 Directorio de D:\Pruebas EstrÇs Empresas\Info Adriana	" 3 archivos        171,898 bytes"	0.000
 Directorio de D:\Financiera\Arboles\gio\Arboles_PD_Financiera09\Resultados	"24 archivos        171,784 bytes"	0.000
 Directorio de D:\Finanzia2012\Proyecto	" 1 archivos        171,019 bytes"	0.000
 Directorio de D:\RAR3\LGD	" 2 archivos        171,008 bytes"	0.000
 Directorio de D:\TDC2014\Calibraciones Reactivas\Alex\3. Excel Finanzia\textos\fza5	"15 archivos        167,644 bytes"	0.000
 Directorio de D:\TDC2014\LGD\R2\Entrega Espa§a\EjemploLGDConsumo	" 2 archivos        166,209 bytes"	0.000
 Directorio de D:\Personal hga\PlanPensiones	" 1 archivos        166,181 bytes"	0.000
 Directorio de D:\Negocio2010\2010\R10\lgd	" 4 archivos        163,328 bytes"	0.000
 Directorio de D:\Personal hga\Comprobantes\telcel	" 4 archivos        163,119 bytes"	0.000
 Directorio de D:\TDC2014\Calibraciones Reactivas\Alex\3. Excel Finanzia\textos\fza7	"15 archivos        161,809 bytes"	0.000
 Directorio de D:\Calibraciones TDC 2013\PD Inactivas	" 3 archivos        161,569 bytes"	0.000
 Directorio de D:\Personal hga\Comprobantes\Transferencias\MAS_TDC_AMEX	" 2 archivos        160,842 bytes"	0.000
 Directorio de D:\Personal hga\Comprobantes\h2o\2011	" 5 archivos        159,773 bytes"	0.000
 Directorio de D:\RAR3_2012\LGD	" 6 archivos        159,138 bytes"	0.000
 Directorio de D:\Personal hga\Comprobantes\Afore	" 2 archivos        156,449 bytes"	0.000
 Directorio de D:\TDC2014\Calibraciones Reactivas\Alex\3. Excel Finanzia\textos\fza8	"15 archivos        155,225 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\SEVERIDAD\entregable_correc\ANALISIS ADICIONALES	" 2 archivos        155,136 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\TDC NEGOCIO\codigo	" 4 archivos        151,177 bytes"	0.000
 Directorio de D:\RAR\Impactar	" 5 archivos        151,015 bytes"	0.000
 Directorio de D:\Negocio2011\Cat†logos	" 7 archivos        149,504 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\Contingencia dany\escenarios_contigencia 2006\entregable calculo de contingencia\finanzia	" 9 archivos        149,415 bytes"	0.000
 Directorio de D:\TDC2014\Calibraciones BHS TSA\C¢digos\Finanzia	"13 archivos        148,124 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\v1	" 5 archivos        147,945 bytes"	0.000
 Directorio de D:\NvosModelosSP\CasosPracGCR\CINEPOLIS	" 1 archivos        147,771 bytes"	0.000
 Directorio de D:\Calibraciones TDC 2013\CalibracionesV01_2014\BHS\V3\0. C¢digos\Finanzia	"13 archivos        147,766 bytes"	0.000
 Directorio de D:\NvosModelosSP\CasosPracGCR\CORPOVAEL	" 1 archivos        147,569 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\personal	" 2 archivos        146,884 bytes"	0.000
 Directorio de D:\Calibraciones2012\Proyecto	" 4 archivos        145,859 bytes"	0.000
 Directorio de D:\Calibraciones TDC 2013\CalibracionesV01_2014\BHS\V3\0. C¢digos\Banco	"10 archivos        144,783 bytes"	0.000
 Directorio de D:\Finanzia2011	" 5 archivos        144,648 bytes"	0.000
 Directorio de D:\TDC2014\Calibraciones BHS TSA\C¢digos\Banco	"10 archivos        144,520 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\TDC NEGOCIO\RESULTADOS OK\PD	" 1 archivos        143,872 bytes"	0.000
 Directorio de D:\Financiera\2010\arbol_financiera_previo\Resultados\SM	"15 archivos        143,478 bytes"	0.000
 Directorio de D:\Scoring	" 1 archivos        143,360 bytes"	0.000
 Directorio de D:\NvosModelosSP\CasosPracGCR\CEMEX	" 1 archivos        141,949 bytes"	0.000
 Directorio de D:\Mis documentos\Calibre Library	" 2 archivos        141,810 bytes"	0.000
 Directorio de D:\NvosModelosSP\CasosPracGCR\PE•OLES	" 1 archivos        141,791 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\Nueva Segmentaci¢n\S2\Subsegm	" 2 archivos        141,311 bytes"	0.000
 Directorio de D:\NvosModelosSP\CasosPracGCR\ICA	" 1 archivos        140,921 bytes"	0.000
 Directorio de D:\RAR\TS\C¢digos\Entrega Auditor°a	" 6 archivos        140,785 bytes"	0.000
 Directorio de D:\Financiera\ATP\Capacidad de pago Financiera Ayudamos	" 1 archivos        139,264 bytes"	0.000
 Directorio de D:\TDC2014\Entrega\C¢digos\Calibraciones BHS\TDC Finanzia	" 2 archivos        138,533 bytes"	0.000
 Directorio de D:\TDC2014\Entrega\C¢digos\Calibraciones BHS\TDC Banco	" 2 archivos        138,424 bytes"	0.000
 Directorio de D:\ListaHerramientasAISB	" 1 archivos        138,160 bytes"	0.000
 Directorio de D:\Respaldo Jes£s\TerceraEstimaci¢n\Entregas\1aEntregaEspa§a	" 3 archivos        137,777 bytes"	0.000
 Directorio de D:\Financiera_Ayudamos\2012\Resultados\Entrega\Versi¢n Ant	" 3 archivos        137,728 bytes"	0.000
 Directorio de D:\Personal hga\respaldo sat	" 4 archivos        137,272 bytes"	0.000
 Directorio de D:\Personal hga\usb\Personal\respaldo sat	" 4 archivos        137,272 bytes"	0.000
 Directorio de D:\Calibraciones TDC 2013\CalibracionesV01_2014\C¢digos\Calificaci¢n Retrospectiva	"10 archivos        137,103 bytes"	0.000
 Directorio de D:\TDC2014\Calibraciones Reactivas\Nueva Versi¢n C¢digos May14	" 2 archivos        133,991 bytes"	0.000
 Directorio de D:\Financiera\2010\arbol_financiera\Resultados\SM	"15 archivos        133,775 bytes"	0.000
 Directorio de D:\Financiera\2010\arbol_financiera\Resultados\QC	"15 archivos        133,722 bytes"	0.000
 Directorio de D:\TDC2014\LGD\Documentaci¢n	" 5 archivos        133,171 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\impactos\entrega_ago\CATALOGO	" 5 archivos        131,584 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\Parametros 2008\TDC NEGOCIO\RESULTADOS OK\NECESITO\PD	" 1 archivos        131,072 bytes"	0.000
 Directorio de D:\Calibraciones TDC 2013\An†lisisEjesAC\Enfoque Cohorte	" 3 archivos        130,528 bytes"	0.000
 Directorio de D:\Bancarias2011\2010\codigos\PD	"13 archivos        130,314 bytes"	0.000
 Directorio de D:\Calibraciones TDC 2013\Auditor°a Espa§a	" 4 archivos        129,725 bytes"	0.000
 Directorio de D:\Series de Tiempo	" 8 archivos        129,108 bytes"	0.000
 Directorio de D:\Mis documentos\My SAS Files\V8	" 6 archivos        129,024 bytes"	0.000
 Directorio de D:\Calibraciones TDC 2013\An†lisisEjesAC\Env°o\trabajo	" 2 archivos        127,364 bytes"	0.000
 Directorio de D:\Financiera\TIIE _archivos	" 5 archivos        126,066 bytes"	0.000
 Directorio de D:\Negocio2010\2010\Cat†logos	" 5 archivos        125,952 bytes"	0.000
 Directorio de D:\work\2009\CONSUMO	" 4 archivos        125,952 bytes"	0.000
 Directorio de D:\Calibraciones TDC 2013\Informaci¢n	" 3 archivos        125,535 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\SEVERIDAD\entrega_ago\EJERCICIO EAD 2000 final\BDE_MODIFICACIONES_ENE\CAMBIANDO EL EAD SIN VP	" 2 archivos        124,928 bytes"	0.000
 Directorio de D:\Personal hga\Comprobantes\BBVA\Libret¢n	" 1 archivos        124,576 bytes"	0.000
 Directorio de D:\Negocio2012\Cat†logos	" 6 archivos        123,583 bytes"	0.000
 Directorio de D:\Finanzia2011\2011	" 3 archivos        122,880 bytes"	0.000
 Directorio de D:\BackTesting BIS 2014\Consolidar	" 2 archivos        122,866 bytes"	0.000
 Directorio de D:\GrupoInnovaci¢n\BaseAcumuladaTDCBanco\Correcci¢n	" 6 archivos        120,307 bytes"	0.000
 Directorio de D:\Financiera_Ayudamos\2012\Proyecto	" 2 archivos        118,528 bytes"	0.000
 Directorio de D:\CuestionarioEAD	" 2 archivos        118,390 bytes"	0.000
 Directorio de D:\Negocio2011\R	" 4 archivos        117,760 bytes"	0.000
 Directorio de D:\Venta de Cartera Hipotecaria\Ejercicio Sept15 Tasa 13.01	" 1 archivos        117,545 bytes"	0.000
 Directorio de D:\Financiera\BasesAbr09\gio\gio_compumario_definitivoHoja3\Arboles_PD_Financiera09_CASO2\Resultados	"15 archivos        115,872 bytes"	0.000
 Directorio de D:\Pruebas EstrÇs Empresas	" 2 archivos        115,214 bytes"	0.000
 Directorio de D:\RAR\TS\Daisy	" 7 archivos        114,067 bytes"	0.000
 Directorio de D:\docs	" 1 archivos        113,664 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\Segmentaci¢n Final\Propuesta 1\4 NoAsalAntMen84	" 1 archivos        113,508 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\Segmentaci¢n Final\Propuesta 2\2 AsalSinN¢mina	" 1 archivos        113,500 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\Segmentaci¢n Final\Propuesta 1\3 NoAsalAntMayor84	" 1 archivos        113,030 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\Segmentaci¢n Final\Propuesta 1\2 AsalAntMen110	" 1 archivos        113,007 bytes"	0.000
 Directorio de D:\GDrive\NuevoEjeCalibConsumo2013	" 4 archivos        112,777 bytes"	0.000
 Directorio de D:\respaldo maquina on M825016\2007\ACUMULADA 2007\SEVERIDAD\EJERCICIO DOS PREVIA	" 1 archivos        112,640 bytes"	0.000
 Directorio de D:\Calibraciones TDC 2013\Matrices de Transici¢n\macros	" 1 archivos        112,525 bytes"	0.000
 Directorio de D:\GDrive\MatricesTransici¢n\macros	" 1 archivos        112,525 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\Segmentaci¢n Final\Propuesta 2\4 NoAsalEdo2	" 1 archivos        111,974 bytes"	0.000
 Directorio de D:\GravityHipotecasV2\Segmentaci¢n Final\Propuesta 2\3 NoAsalEdo1	" 1 archivos        111,954 bytes"	0.000
